Timestamp,X,Y,Z,Activity
36:43.2,1.63524,-0.318429,-0.038307,running
36:43.3,0.641646,-16.457743,0.227449,running
36:43.4,-0.919373,-14.264654,0.703895,running
36:43.4,-6.730101,-13.67568,4.235343,running
36:43.5,-2.652776,-5.93762,1.465251,running
36:43.6,-1.810017,-2.669535,-1.149217,running
36:43.7,-1.96564,-12.313379,0.232238,running
36:43.8,-3.974375,-14.765042,5.334281,running
36:43.8,-0.921768,-7.417237,3.881001,running
36:43.9,-2.858677,-3.002329,-4.477157,running
36:44.0,8.319851,-5.097255,1.735796,running
36:44.1,-15.076288,-31.297005,-0.222661,running
36:44.2,-4.197036,-13.148955,1.860295,running
36:44.2,-5.604826,-8.916007,5.058948,running
36:44.3,-1.323994,-2.185906,-1.053449,running
36:44.4,1.807622,-8.968679,0.129287,running
36:44.5,-1.522712,-13.64695,2.822764,running
36:44.6,-0.519542,-6.026206,5.061342,running
36:44.6,0.720655,0.567426,-0.129287,running
36:44.7,0.600945,-12.018892,-1.16837,running
36:44.8,-1.254562,-5.410896,2.336741,running
36:44.9,-8.219295,-14.947001,8.738836,running
36:45.0,-4.141969,-10.718841,6.050148,running
36:45.0,-0.933739,-2.403779,-1.199495,running
36:45.1,1.82917,-8.487445,1.307234,running
36:45.2,-4.920084,-20.333956,6.442797,running
36:45.3,-4.299986,-2.815581,7.762002,running
36:45.4,-0.6608,-0.390255,-1.893813,running
36:45.4,9.883265,-9.964667,5.046977,running
36:45.5,-6.53617,-11.262324,3.177106,running
36:45.6,-8.355764,-12.713211,6.157887,running
36:45.7,-2.372654,-8.020576,2.999935,running
36:45.8,0.445322,-1.956063,-0.957681,running
36:45.8,-5.552154,-12.959814,2.822764,running
36:45.9,-5.638345,-21.248541,2.296039,running
36:46.0,-1.592144,-6.708553,0.217872,running
36:46.1,1.685518,-2.961627,-1.905785,running
36:46.2,1.92015,-2.698265,-3.478775,running
36:46.2,-7.31668,-16.254236,5.513846,running
36:46.3,-3.172317,-10.644621,3.768473,running
36:46.4,0.09098,-3.306392,1.302446,running
36:46.5,-3.536236,-4.584896,-0.275333,running
36:46.6,-2.47321,-13.819332,1.321599,running
36:46.6,-1.647211,-16.371552,4.082114,running
36:46.7,-1.790863,-7.64708,2.839523,running
36:46.8,2.659958,-0.701501,-1.82917,running
36:46.9,-2.262521,-14.372393,3.349488,running
36:47.0,-1.091756,-5.758055,0.282516,running
36:47.0,-5.837064,-15.705963,5.801151,running
36:47.1,-4.79798,-6.062119,2.980781,running
36:47.2,-0.201113,-4.659117,-0.174777,running
36:47.3,-3.548207,-15.049952,2.269703,running
36:47.4,-4.338294,-19.610907,5.061342,running
36:47.4,-2.073379,-5.762844,4.836287,running
36:47.5,-1.000776,-2.06859,1.000776,running
36:47.6,2.746149,-7.821857,-0.466869,running
36:47.7,-5.702989,-9.392453,6.449979,running
36:47.8,-8.968679,-15.763424,3.292027,running
36:47.8,-0.754174,-10.788273,2.078167,running
36:47.9,-3.323152,-3.445256,0.837971,running
36:48.0,-3.045424,-9.045294,2.126051,running
36:48.1,-6.497863,-20.733788,3.181894,running
36:48.2,-3.801992,-6.263232,7.307104,running
36:48.2,-0.814029,-2.183512,0.708684,running
36:48.3,1.637634,-6.720524,0.600945,running
36:48.4,-5.540183,-19.680338,-4.19943,running
36:48.5,-8.09719,-20.317196,-0.016759,running
36:48.6,-7.900866,-12.559982,2.693477,running
36:48.6,-1.127669,-8.183381,3.332729,running
36:48.7,-0.423774,-2.011129,0.648829,running
36:48.8,0.577003,-16.323668,3.921702,running
36:48.9,-3.790021,-17.338808,5.597643,running
36:49.0,-3.234566,-2.528277,4.592079,running
36:49.0,2.195483,-2.741361,-1.501164,running
36:49.1,14.219164,-11.664551,-3.962404,running
36:49.2,-6.265626,-8.932767,7.319075,running
36:49.3,-6.210559,-15.346833,6.189012,running
36:49.4,-4.343082,-11.602302,4.278439,running
36:49.4,-4.283227,-2.904167,-3.04303,running
36:49.5,1.855506,-7.920019,1.197101,running
36:49.6,-6.495469,-18.868704,3.598485,running
36:49.7,-0.871489,-8.456321,5.00867,running
36:49.8,-1.283292,-4.256891,2.317587,running
36:49.8,3.548207,-4.673482,1.335965,running
36:49.9,1.632846,-33.068714,-3.244143,running
36:50.0,3.722984,-16.290148,1.999158,running
36:50.1,-3.859453,-11.851298,5.552154,running
36:50.2,-3.545813,-7.156269,1.94888,running
36:50.2,-1.154005,-3.928885,0.011971,running
36:50.3,2.959233,-13.172897,2.808398,running
36:50.4,-4.197036,-11.812991,6.924031,running
36:50.5,-2.147599,-5.001487,1.596933,running
36:50.6,3.086126,-9.181764,0.445322,running
36:50.6,8.248025,-0.205901,-1.628057,running
36:50.7,1.857901,1.374272,5.468357,running
36:50.8,-7.400477,-12.174516,5.554548,running
36:50.9,1.838747,-7.07726,1.386243,running
36:51.0,0.241814,-1.029507,-1.984793,running
36:51.0,-2.767697,-18.971655,2.882619,running
36:51.1,-2.372654,-16.369158,4.113238,running
36:51.2,-0.746991,-5.81791,-1.158794,running
36:51.3,3.213019,-3.32794,-2.557007,running
36:51.4,5.724536,-1.54426,1.92015,running
36:51.4,0.143652,-5.877765,5.777209,running
36:51.5,-4.594473,-12.856863,3.543418,running
36:51.6,-1.740585,-5.997475,1.460463,running
36:51.7,-3.557784,-2.418144,1.074997,running
36:51.8,-2.612074,-11.963826,-0.873884,running
36:51.8,-2.928109,-19.699492,3.706224,running
36:51.9,-0.402226,-6.737284,1.307234,running
36:52.0,3.193865,-0.038307,-1.221043,running
36:52.1,-3.445256,-13.862428,2.260126,running
36:52.2,6.251261,0.90022,1.347936,running
36:52.2,-11.063606,-28.713661,-1.623269,running
36:52.3,-1.089362,-13.125013,0.016759,running
36:52.4,-0.754174,-5.640739,2.375048,running
36:52.5,0.794875,-10.965444,4.929661,running
36:52.6,-3.545813,-17.041927,8.425196,running
36:52.6,-1.70946,-2.604892,4.970363,running
36:52.7,0.373495,-2.624045,1.288081,running
36:52.8,10.757148,-10.026917,3.023877,running
36:52.9,-8.020576,-9.375694,-0.071826,running
36:53.0,-5.066131,-16.74744,4.321534,running
36:53.0,-4.879383,-11.884817,4.613626,running
36:53.1,-1.482011,-3.641581,-0.507571,running
36:53.2,0.703895,-6.684611,0.138864,running
36:53.3,-0.35913,-11.235989,3.74932,running
36:53.4,-0.842759,-5.62398,4.359841,running
36:53.4,0.960075,-3.766079,3.916914,running
36:53.5,5.027823,-7.82904,-4.76925,running
36:53.6,-9.648633,-24.861391,-6.14831,running
36:53.7,-0.940921,-15.804126,0.811634,running
36:53.8,-1.934515,-6.98628,3.641581,running
36:53.8,0.70629,-3.904943,0.684742,running
36:53.9,-3.356671,-13.314156,0.414197,running
36:54.0,-3.799598,-17.597382,4.596867,running
36:54.1,-2.896984,-8.056489,2.566584,running
36:54.2,4.041412,-5.777209,-0.04549,running
36:54.2,2.504335,-3.181894,-0.476446,running
36:54.3,-12.334928,-24.416069,0.136469,running
36:54.4,-3.790021,-18.674774,4.350265,running
36:54.5,-1.584962,-10.527305,4.129998,running
36:54.6,-1.283292,-5.032612,1.443704,running
36:54.6,2.509123,-9.291897,0.033519,running
36:54.7,6.399701,-6.212954,3.057395,running
36:54.8,-0.02873,-8.710106,5.398925,running
36:54.9,-2.027889,-3.397372,1.862689,running
36:55.0,3.404555,-5.695806,3.169923,running
36:55.0,11.801021,-18.346767,-3.383007,running
36:55.1,6.191406,-8.341399,-2.966416,running
